code,county,area,date,time,places,file
,MACHAKOS,MOMBASA RD,Saturday  01.03.2025,9.00 A.M. – 2.00 P.M.,"['Gateway Mall', 'Nation Printers', 'Multi Mechanical', 'Doshi', 'Signode', 'Soham', 'Sawada Villas', 'Loneview', 'Lynwood', 'Muthama Heights', 'Shaba', 'Mwananchi Rd', 'Airport Rd', 'Kiungani Rd', 'Community Rd & adjacent customers .']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,MACHAKOS,ATHI RIVER,Wednesday  05.03.2025,9.00 A.M. – 2.00 P.M.,"['Graylands 1', '2', '3', '4', 'Sunda Industries', 'Sidai Village & adjacent customers .']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,MAKUENI,EMALLI TO NZIU (EMALI EX SULTAN),Thursday 06.03.2025,9.00 A.M. – 5.00 P.M.,"['Emali Town', 'Mulala', 'Kithumani', 'Masokani', 'Kikumini', 'Masumba', 'Welfare', 'Matiliku', 'Kilili', 'Kalamba', 'Katulye', 'Upendo', 'Nziu & adjacent customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,NYANDARUA,PARTS OF MURUNGARU ENGINEER NJABINI,Tuesday 04.03.2025,9 .00 A.M. - 5.00 P.M.,"['Murungaru Including Turasha', 'Memo', 'Engineer Town', 'Ndunyu Njeru', 'Karima', 'Girls', 'Kinangop Daily', 'Daima Daily', 'Kaimba', 'Munyaka', 'Njabini', 'Sasumua Dam', 'Kinamba', 'Ndinda & adjacent customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,NYANDARUA,MIHARATI MACHINERY MAWINGU,Thursday 06.03.2025,9 .00 A.M. - 5.00 P.M.,"['Miharati Including Machinery', 'Kahiga', 'Bondeni', 'Gitwe', 'Mahinga', 'Gatiriga', 'Mumui', 'Matopeni', 'Mawingu', 'Ndiara', 'Manunga', 'Mubau & adjacent customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,NAKURU,NORTHSHORE -NAIVASHA,Wednesday 05.03.2025,9 .00 A.M. - 5.00 P.M.,"['Vegpro', 'Flamingo', 'Part of Kamere', 'Kongoni', 'Hippo Point', 'Oloiden', 'Rain Forest', 'Aquila Farm', 'Ndabibi', 'Eburru Hills Farm', 'Kijabe Ltd', 'Evergreen Avocados', 'Evergreen Herbs', 'Moi Ndabi', 'Sero', ""Ng'ondi"", 'Maiella', 'Sagutiek', 'Tangi Tatu &', 'adjacent customers .']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,UASIN GISHU,"NAIBERI, LOTONYOK, LOSIRWA",Thursday 06.03.2025,9.00 A.M. – 5.00 P .M.,"['Naiberi Laini Moja', 'Kamiti', 'Losirwa', 'Lotonyok & adjacent customers .']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,NANDI,"CHEPTABACH, MARABA, TACHASIS",Tuesday 04.03.2025,9.30 A.M. – 5.00 P .M.,"['Cheptabach', 'Kibukwo', 'Kabirer', 'Maraba', 'Senetwo', 'Songhor', 'Soba River', 'Tachasis', 'Miteitei', 'Tinderet', 'Mbogo Valley & adjacent customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,NANDI,CHEPTABACH,Wednesday 05.03.2025,9.30 A.M. – 5.00 P .M.,"['Cheptabach Sec', 'Mkt and Village & adjacent customers .']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,NANDI,TAUNET,Thursday 06.03.2025,9.30 A.M. – 5.00 P .M.,"['Taunet Sec', 'Soy Sitet & adjacent customers .']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,NANDI,"SARWAT, TACHASIS METEITEI",Friday 07.03.2025,9.30 A.M. – 5.00 P .M.,"['Sarwat', 'Ainapngetuny', 'Tachasis', 'Old Miteitei', '& adjacent customers .']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,VIHIGA,"CHEPTUL MKT, SHIRU",S aturday  01.03.2025,9 .00 A .M. – 5.00 P.M.,"['Cheptul Mkt', 'Shiru', 'Kaptech', 'Muhudu', 'Sigong’o', 'Upendo', 'Musasa Mkt', 'Kakubudu', 'Musunji', 'Isiru Sec', 'Jiviriri', 'Kamulembe', 'Shaviringa  & adjacent', 'customers .']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,VIHIGA,"LUANDA MKT, EBWIRANYI",Tuesday 04.03.2025,9.00 A.M. – 5.00 P.M.,"['Luanda Mkt', 'Ebwiranyi', 'Mukhalakhala', 'Epangá', 'Ebubayi', 'Mulele', 'Esaba', 'Esibila', 'Ebulondi', 'Esibakala', 'Radio Anyole', 'Radio Samaritan', 'Epali', 'Mabwi', 'Ebuyangu &', 'adjacent customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,VIHIGA,"EBWALI, WALUKA",Friday 07.03.2025,9.00 A.M. – 5.00 P.M.,"['Ebwali', 'Waluka', 'Mwitokho', 'Emusenjeli', 'Mahanga', 'Havavo', 'Wambundo', 'Musunguti', 'Ligale', 'Madzuu Girls', 'Kisienya', 'Ihyagalo', 'Itabalia & adjacent', 'customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,HOMA BAY,"KIABUYA, MAGUNGA, ORORE",Monday 03.03.2025,9.00 A.M. - 4.00 P.M.,"['Ngeri', 'Nyagwethe', 'Kikubi', 'Nyandiwa', 'Kiabuya', 'Laknyiero', 'Magunga', 'NYS', 'Orore', 'Beach', 'Our Lady of Orore Pri Sch & adjacent customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,THARAKA NITHI,"CHERA, NGAANI PRI",T uesday  04.03.2025,8.30  A.M. – 4.00 P.M.,"['Chera Mkt', 'Kanyuru Pr i Sch', 'Ikawa Sec', 'Gikumbo Village', 'Ngaani Pr i Sch', 'Kamuguogo Pr i Sch', 'Nyagakairu Pr i Sch', 'Karamungi Sec Sch & adjacent', 'customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,THARAKA NITHI,"MWANJATE, KATHANGA",W ednesday  05.03.2025,8.30  A.M. – 4.30 P.M.,"['Mwanjate Mkt', 'Kibiga Kya Athi Pr i', 'Chuka Tvt', 'Kathanga Mkt & adjacent', 'customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,THARAKA NITHI,"KARIAKOMO, KERIA",F riday  07.03.2025,8.30  A.M. – 5.00 P.M.,"['Kariakomo Mission Hosp', 'Kirumi Coffee Factory', 'Igwanjau Sec', 'Kiarungu', 'Kabui', 'Sec', 'Keria Mkt', 'Mwafrika  Plant', 'Imara Dairy', 'Ruruma Pr i', 'Riakanugu & adjacent', 'customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,LAIKIPIA,"SEGERA, TUNDRA",T uesday  04.03.2025,8.30  A.M. – 4.30 P.M.,"['Olpejeta', 'Depatas', 'Tundra', 'Freshigold', 'Segera', 'Zimbabwe', 'New Daraja', 'Academy & adjacent customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,LAIKIPIA,"TIMAU, NGARENDARE",T hursday  06.03.2025,8.30  A.M. – 4.30 P.M.,"['Timau Mkt', 'Kilimbogo', 'Siraji', 'Oldonyo', 'Batian', 'Ngarendare & adjacent', 'customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,MERU,"KIANJAI, KBC NYAMBENE",Tuesday  04.03.2025,8.30  A.M. - 5.00 P.M.,"['Kianjai Mkt', 'Ngundune Mkt', 'Michii Mikuru T /Factory', 'KBC Nyambene', 'Kirema', 'Kiuma AP Training', 'Kioro Mkt', 'Tigania Mission Hosp', 'Kamoja Rd', 'Ntarami', 'Karii', 'Muutionjuri Dispensary', 'Mwerondu  Mkt', 'Kadebe Dispensary & adjacent', 'customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,MERU,"KAAGA, KITHOKA, NKOUNE",T hursday  06.03.2025,8.00  A.M. – 5.00 P.M.,"['Nkoune', 'Mwiriene Pri', 'Meru Teachers College', 'Mwithumwilu Sec Sch', 'Kaaga', 'Girls High Sch', 'Mpakone Village', 'Kaaga', 'Safaricom Kaaga', 'LR Petrol Station', 'Gatimene Gardens', 'Runogone', 'KEMU University', 'Tuliza FM', 'Gakurine', 'Kiandiu', 'Are', 'Chungu', 'Kwiriro Mkt', 'Runongone Airtel', 'Kaithe Mkt', 'Kithoka', 'Freds', 'Academy', 'Thiiri Cultural Centre', 'Bishop Lawi Imathiu Pri and Sec', 'Ki thoka', 'Ripples & adjacent customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,NYERI,"OTHAYA TOWN, IRIANI",Saturday  01.03.2025,8.00  A.M. – 5.00 P.M.,"['Othaya Town', 'Othaya Hosp', 'Mwai Kibaki Hosp', 'Othaya Boys', 'Othaya Girls', 'Gathumbi', 'Iriani', 'Kairuthi', 'Thunguri', 'Waihara Mkt', 'Kabebero', 'Kihuri Water', 'Treatment', 'Hon Kibaki Residence', 'KCB Othaya', 'Cooperative Bank', 'Family Bank', 'Equity Bank & adjacent customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,NYERI,KIRIANI TOWN,Wednesday  05.03.2025,8.00  A.M. – 5.00 P.M.,"['Kiriani Town', 'Kandabibi', 'Kagumoini', 'Kamacharia', 'Thuita', 'Kiaguthu Hon Maina', 'Kamanda', 'Ngoe Village', 'Kiriani  Girls', 'Kiru Boys', 'Kanjama Mkt', 'Umbui Mkt KCB', 'Bank', 'Family Bank', 'Equity Bank & adjacent customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,MURANGA,"KAHUHIA GIRLS, MUKUYU MKT, KIROGO BOYS",Monday  03.03.2025,8.00  A.M. – 5.00 P.M.,"['Mukuyu Mkt', 'Magunas Supermarket', 'Muwasco Offices', 'MURANGA High', 'Kengen', 'Mathioya', 'Hon Matiba Residence', 'Kahuhia Girls', 'Kirogo Boys', 'Karuri Mkt', 'Muchungucha Mkt', 'Kayahwe Water Treatment', 'Yamugwe Mkt', 'Kamaguta Mkt', 'Ndutumi Mkt', 'Maragi Sec Sch & adjacent customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,KIAMBU,"MUSHROOM,  THINDIGUA",Tuesday  04.03. 2025,9.00 A.M. - 5.00 P.M.,"['KIST', 'Mushroom Est', 'Thindigua', 'Quickmart', 'GG Shopping Centre', 'Muthithi', 'Njathaini', 'Eden Ville  & adjacent customers .']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,KIAMBU,"RAIYANI, KAHUGUINI,  NEMBU",Wednesday 05.03.2025,9.00 A .M. - 5.00 P .M.,"['St.Monica', 'CRF', 'Nembu Sec', 'Mutati', 'Kahuguini Shops', 'Karembu', 'Garoa Est', 'Gateiguru', 'Nginduri', 'Thuita Sec & adjacent customers .']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,KIAMBU,"ST MARY'S RUNDA, FOURWAYS",Thursday  06.03.2025,9.00 A.M. - 5.00 P.M.,"['Laureate Sch', 'Tsavo Fourways', 'St Mary’s Runda', 'Kwaheri Rd', 'Chief Gatabaki', 'Centre & adjacent customers .']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,KITUI,"IGANGA,  MBITINI, VOO",Wednesday  05.03.2025,9.00 A.M. - 5.00 P.M.,"['Iganga', 'Mlango', 'Kisasi', 'Musa', 'Mbitini', 'Voo', 'Kitungati & adjacent customers .']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,KITUI,"MIAMBANI,  ZOMBE, THINGATHI",Thursday  06.03.2025,9.00 A.M. - 5.00 P.M.,"['Kyamatu', 'Zewani', 'Kangweni', 'Thingathi', 'Kanzoumo', 'Yongwe', 'Kamandio', 'Enyu', 'Zombe', 'Mwitiga & adjacent customers .', 'COAST REGION']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,MOMBASA,"COAST CALCIUM, WAA GIRLS",Tuesday  04.03.2025,9.00  A.M.  – 5.00 P.M.,"['Coast Calcium', 'Waa Girls', 'Shonda Maweni & adjacent customers .']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,MOMBASA,"MAKANDE PRIMARY, RED BRICK, JUA KALI",Thursday  06.03.2025,9.00  A.M.  – 5.00 P.M.,"['KPA Red Brick', 'Former Gapco', 'Makande Pri', 'KPA Club', 'ACK ST Lukes Church', 'Jua Kali & adjacent customers.']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,KILIFI,"PWANI UNIVERSITY, PALAKUMI, VITENGENI",Tuesday 04 .03.2025,9.00  A.M.  – 5.00 P.M.,"['Pwani University', 'Konjora', 'Palakumi', 'Ganze', 'Vitengeni', 'Matano Manne', 'Lango', 'Baya', 'Magogoni & adjacent customers .']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,KILIFI,"MWANGO, MTONDIA, TEZO",Wednesda y 05.03.2025,9.00  A.M.  – 5.00 P.M.,"['Mwango', 'Mkoroshoni', 'Basi', 'Mzongoloni', 'Mtondia', 'Tezo', 'Chumani', 'Magorani', 'Zowerani', 'Ngerenya', 'Roka & adjacent customers .']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,KWALE,"SHELL DIANI, NAIVAS",Thursday  06.03.2025,9.0 0 A.M.  – 3.00 P.M.,"['Vingujini', 'Sawasawa Beach', 'Msambweni Referral Hosp', 'Msambweni Beach', 'Hse', 'KMTC Msambweni  & adjacent customers.', 'For further information', 'contact', 'the nearest Kenya Power office', 'Interruption n otices may be viewed at', 'www.kplc.co.ke', 'Power Maintenance Notice', 'Notice is hereby given under R ule 27 of the Electric Power Rules', 'That the electricity supply will be interrupted as here under:', '(It is necessary to interrupt supply periodically in order to facilitate', 'maintenance and upgrade of power lines to the network; to connect new', 'customers or to replace power lines during road construction', 'etc.)']",01JN333MXKH8EH77TG2KB5Z31S.pdf
,NAIROBI,PART OF MUTHAIGA,Tuesday 22.10.2024,9.00 A.M. – 5.00 P.M.,"['Utalii Hotel', 'Mathari Hosp', 'Muth aiga Golf Hotel', 'Muthaiga Pri Sch', 'Muthaiga Police', 'Residence', 'Mathari Sec', 'Mathari Brilliant Centre Academy & adjacent customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,NAIROBI,PART OF ROYSAMBU,Tuesday 22.10.2024,9.00 A.M. – 5.00 P.M.,"['Kamiti R d', 'Jacaranda Est', 'Roysambu Pri Sch & adjacent customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,NAIROBI,"ZIMMERMAN, GITHURAI 45",Tuesday 22.10.2024,9.00 A.M. – 5.00 P.M.,"['Zimmerman', 'Githurui 45', 'Farmers Choice', 'Kahawa Barracks', 'BATUK & adjacent', 'customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,NAIROBI,PART OF MUTHAIGA,Wednesday 23.10.2024,9.00 A.M. – 5.00 P.M.,"['Brookside Groove', 'Matundu Lane', 'School Lane', 'Clarence Hotel & adjacent', 'customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,NAIROBI,PART OF LORESHO,Wednesday 23.10.2024,9.00 A.M. – 5.00 P.M.,"['University of Nairobi', 'Kaumoni', 'Loresho Pri & Sec Schs', 'Shamba Café & adjacent', 'customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,NAIROBI,PART OF MUTHAIGA,Thursday 24.10.2024,9.00 A.M. – 5.00 P.M.,"['Gertrude’s Hosp', 'Oil Li bya', 'Chui Rd', 'Naivasha Ave', 'British Embassy Residence', 'Embassy of Saudi Arabia', 'Orchard Close', 'Muthaiga Garden & adjacent customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,NAIROBI,PART OF GIGIRI,Friday 25.10.2024,9.00 A.M. – 5.00 P.M.,"['KTTC Tivet Col lege', 'Canadian Embassy Residence', 'UN Avenue', 'Embassy of', 'Polland', 'Embassy of Sweden & Residence', 'Gigiri Police & adjacent customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,NAIROBI,MUKURU KWA NJENGA,Thursday 24.10.2024,9.00 A.M. – 5.00 P.M.,"['Maziwa Stage', 'M -Gas Mukuru Depot', 'Villa Police Station', 'Wapewape Rd', 'Embakasi Girls', 'Muindi Mweusi S/Mkt', 'Mukuru kwa Njenga', 'Chaminade', 'St. Mary’s', 'Hospital Mukuru kwa Njenga', 'Kware Police Post', 'Mukuru kwa Njenga Pri', 'Kware', 'Statehouse', 'Pipeline Chairmans', 'Muindi Mweusi S/M kt Pipeline', 'Part of Plot 10 &', 'adjacent customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,WEST POKOT,"ORTUM, SIGOR, SINA",Saturday 19.10.2024,9.00 A.M. – 5.00 P.M.,"['Ortum', 'Sebit', 'Sina', 'Kerelwa', 'Marich Pass', 'Sigor', 'Lomut', 'Sarmach', 'Kainuk &', 'adjacent customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,KISUMU,"MOMBASA MAIZE, MILLERS",Sunday 20.10.2024,9.00 A.M. – 5.00 P.M.,"['Whole of Manyatta Est', 'Kondele', 'Chig a', 'Obwolo', 'KESREF', 'Got Nyabondo', 'Ubunga', 'Est', 'Mamboleo Mkt', 'Kanyakwar', 'Wigot Hotel', 'Lolwe Est', 'Mombasa Maize Millers', 'Kenya Breweries & adjacent customers .']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,BUNGOMA,"SIPALA, LWILE",Tuesday 22.10.2024,9.00 A.M. – 5.00 P.M.,"['Sipala', 'Lwile', 'Mihuu', 'Furoi', 'Mikuuva', 'Magemo', 'Mitukuyu', 'Sinoko Dispensary', 'Lutacho', 'Manafwa', 'Lukusi', 'Bakisa', 'Mabele', 'Lugulu Water', 'Webuye Ongwendivah', 'Webuye', 'Malaha Salvation Army & adjacent customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,BUNGOMA,"MULAKU, KARIMA",Thursday 24.10.2024,9.00 A.M. – 5.00 P.M.,"['Wandabwa Pri Sch', 'Ndivisi Namwatikho', 'Ndivisi Girls', 'Ndivisi Boys', 'Ndivisi Mkt', 'Mulaku', 'Makunga Mkt', 'Nabiswa', 'Kari ma', 'Lusokho', 'Kwana & adjacent customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,KAKAMEGA,KWHISERO,Monday 21.10.2024,9.30 A.M. – 5.00 P.M.,"['Kwhisero Mkt', 'Khumailo', 'Mushiagubu', 'Mulwanda', 'Shirakalu', 'Emungweso', 'Emakunda', 'Khumuasala & adjacent customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,KAKAMEGA,BUTERE,Tuesday 22.10.2024,9.30 A.M. – 5.00 P.M.,"['Butere Girls', 'Butere Boys', 'Buchenya', 'E lukala', 'Eshisisia', 'Shinyalu', 'Buboko', 'Ibokolo', '& adjacent customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,KAKAMEGA,SHIMANYIRO,Wednesday 23.10.2024,9.00 A.M. – 5.00 P.M.,"['Otiende Est', 'Joyland', 'Rosterman', 'Mukhonje', 'Enjinja', 'Eshishiru', 'Shibuli', 'Emasai', 'Mission', 'Shimanyir o', 'Emaungu & adjacent customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,KAKAMEGA,MUSANDA,Friday 25.10.2024,9.30 A.M. – 5.00 P.M.,"['Musanda', 'Burinya', 'Bungasi', 'Buhuru', 'Nyapeta', 'Lukero', 'Shitukhumi', 'Shinamwenyuli', 'Shikalame & adjacent customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,BUSIA,PART OF BUSIA TOWN,Wednesday 23.10.2024,9.00 A.M. – 5.00 P.M.,"['Busia Town', 'Khetias', 'DC’s Office', 'County Commissioners Office', 'KPLC Office', 'Kisii', 'Est', 'Burumba & adjacent customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,KISII,"MARA NI, SOMBOGO",Thursday 24.10.2024,9.00 A.M. – 4.00 P.M.,"['Nyakoe Quarry', 'Ititi Pri', 'Kiareni', 'Marani Mkt', 'Marani Sub -County Hosp', 'Sombogo', 'T/Fact', 'Nyakeiri', 'Rioma Mkt', 'Rioma Police Stn', 'Apondo Pri', 'Gesiaka', 'Nyamatuta', 'Ruga Qua rry', 'Nyando Quarry', 'Nyakome Sec Sch', 'Kiareni Sec & adjacent', 'customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,NYERI,"KANGUBIRI, GITITU",Friday 25.10.2024,8.00 A.M. – 5.00 P.M.,"['Munga', 'Ria', 'Kangubiri', 'Mbari ya Mahira', 'Gititu', 'Nyaithe', 'Ithe Kahuno', 'Karo', 'Kiaraho', 'Maingirano & adjacent customers.']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,KITUI,MUSEVE,Tuesday 22.10.2024,9.00 A.M.  - 5.00 P.M.,"['Kyalilini Booster', 'Museve Mkt', 'Katia', 'Mutulukuni', 'Kwa Mukwa', 'Vinda', 'Makaani &', 'adjacent customers.', 'For further information', 'contact', 'the nearest Kenya Power office', 'Interruption n otices may be viewed at', 'www.kplc.co.ke', 'Power Maintenance Notice', 'Notice is hereby given under R ule 27 of the Electric Power Rules', 'That the electricity supply will be interrupted as here under:', '(It is necessary to interrupt supply periodically in order to facilitate maintenance and', 'upgrade of power lines to the network; to connect new customers or to replace power', 'lines during road construction', 'etc.)']",01JADBBJMQ9DD8DK6FCE0BW2K3.pdf
,NAIROBI,PART OF DANDORA,Sunday 25.05.2025,9.00 A.M. – 5.00 P.M.,"['Part of Lucky Summer', 'Tiba Pri', 'Ngunyumu Pri', 'Ngomongo', 'Dandora Dumpsite', 'Dandora Phase 2', '3 & 4', 'Co -op Bank', 'Uprising & adjacent customers.']",01JVY1ETS6ASGH434Y6NRZREKP.pdf
,NAIROBI,NAIROBI WEST,Sunday 25.05.2025,9.00 A.M. - 5.00 P.M.,"['Paa Crescent', 'ICC Church', 'Muthaiti Ave', 'Nyayo Stadium', 'Nairobi West S/Center', 'Part Nairobi West', 'Niamey Rd', 'Ghandhi Ave', 'Kodi Rd', 'Summerdale Hotel', 'Swara', 'Crescent', 'Kifaru Crescent', 'Msufu Rd', 'Muhoho Ave', 'Sumba Rd', 'Rio Hotel', 'Kisauni', 'Rd', 'Nairobi West Hosp', 'M adaraka Roundabout  Mbagathi Rd', 'Akila III', 'Airport View', 'Est', 'Jonathan Glog', 'Langata Rd', 'Ap Uhuru Camp', 'Mbagathi Rd', 'Nairobi West', 'Prison', 'Deliverance', 'Dam View Est', 'White Star Academy', 'Nyayo Highrise Est', 'AMREF', 'Canaan Est', 'Montezuma Funeral Home', 'Mbagathi  Hosp', 'Defense', 'Memorial Hosp', 'Texas Cancer Center', 'Qwetu Mbagathi Way', 'Kenya Water', 'Institute', 'Akiba Ests', 'Akiba Court 3', 'Five Star Ests', 'Tabsera Academy', 'Memon Ests', 'Halai Ests', 'Bellevue Sch', 'Ruby Ests', 'Midlands Court Est', 'Bandari Villas', 'St.', 'Catherine of Alexandria Catholic', 'Masjid Bukhari Mosque', 'Soledo Springs Est', 'Tepro H omes', 'Manifest Est', 'Sifa Springs Est', 'Missionary Sch', 'Manifest Apts', 'Nairobi Water', 'Tmall', 'Quickmart', 'Willow Court', 'Deep West', 'Kogo Flats', 'Prison', 'Mess', 'Moi Education Centre', 'School for the Blind', 'Entire  Wilson Airport', 'Weston', 'Hotel', 'Langata Pri', 'Prison', 'Sunshine Sch', 'Rubis Petrol Stn', 'Deliverance', 'Uhuru', 'Garden Est', 'Deep West', 'Jonathan Ngeno', 'Dam Est', 'Uchumi Hyper', 'Uhuru', 'Gardens', 'AMREF', 'Skyward Express', 'ALS & adjacent customers.']",01JVY1ETS6ASGH434Y6NRZREKP.pdf
,NAIROBI,PART OF KANGEMI,Monday 26.05.2025,9.00 A.M. – 5.00 P.M.,"['Muratha Rd', 'Hinga Rd', 'Gichagi Rd', 'Kangemi Pri', 'Kangemi High', 'Kangemi Bottom', 'Line', 'Kangemi Shangilia', 'Ananda Marga Academy', 'Kangemi Dallas', 'Kihumbuini', 'Pri', 'Kangemi Co -op Bank', 'Part of Waiyaki Way', 'Kangemi Mkt & adjacent', 'customers.']",01JVY1ETS6ASGH434Y6NRZREKP.pdf
,NAIROBI,PART OF KABETE,Monday 26.05.2025,9.00 A.M. – 5.00 P.M.,"['Vetlab', 'Chinese Construction Companies', 'Loresho Ridge', 'Loresho Springs', 'Pest', 'Control', 'Qaribu Inn Hotel & adjacent  customers.']",01JVY1ETS6ASGH434Y6NRZREKP.pdf
,NAIROBI,PART OF DANDORA,Monday 26.05.2025,9.00 A.M. – 5.00 P.M.,"['Mwolen', 'Tononoka', 'Part of Dandora Phase 2', '3 & 4 & adjacent customers.']",01JVY1ETS6ASGH434Y6NRZREKP.pdf
,NAIROBI,PART OF GITHURAI 45,Tuesday 27.05.2025,9.00 A.M. – 5.00 P.M.,"['Githurai 45', 'Co -op Bank Githurai', 'Naivas', 'Kingdom Sacco', 'Mt. Kenya', 'Kimbo', 'Mwana Mukia', 'Clanne Academy', 'Kassmatt', 'Kwa DO', 'Mukinye', 'Mwiki Sch', 'Kimbo', 'Police', 'Farmers Choice', 'Part of Clay City & adjacent customers.']",01JVY1ETS6ASGH434Y6NRZREKP.pdf
,NAIROBI,PART OF LUCKY SUMMER,Tuesday 27.05.2025,9.00 A.M. – 5.00 P.M.,"['Lucky summer', 'Cieko & adjacent  customers.']",01JVY1ETS6ASGH434Y6NRZREKP.pdf
,NAIROBI,PART OF KILELESHWA,Thursday 29.05.2025,9.00 A.M. – 5.00 P.M.,"['Part of Mandera Rd', 'Durham Rd', 'Gichugu Rd', 'Gem Lane', 'Kandara Rd', 'Kajanta', 'Rd', 'Olekajuado Rd & adjacent customers.']",01JVY1ETS6ASGH434Y6NRZREKP.pdf
,NAIROBI,BOGANI EAST,Thursday 29.05.2025,9.00 A.M. – 5.00 P.M.,"['CUEA', 'Bogani East Rd', 'Corrat Africa', 'Qwetu & Qejani Hostels & adjacent', 'customers.']",01JVY1ETS6ASGH434Y6NRZREKP.pdf
,MACHAKOS,ATHIRIER,Sunday 25.05.2025,9.00 A.M. – 5.00 P.M.,"['Acacia Est', 'Junior Staff', 'Stoni Athi', 'Daystar University', 'Rawa Hostels', 'Intercounty', 'Lukenya Village', 'Lukenya Girls', 'Lukenya Boys', 'Kasanga Mulwa & adjacent', 'customers.']",01JVY1ETS6ASGH434Y6NRZREKP.pdf
,NAKURU,"ELEMENTAITA, KONGOI",Thursday 29.05.2025,9.00 A.M. – 4.00 P.M.,"['Parts of Elementaita', 'Kongasis', 'Oljorai', 'Kiambogo', 'Munanda', 'Tangi Tano', 'Kiptangwany', 'Jogoo', 'Miti Mingi', 'Kianjoya', 'Sururu', 'Mau Narok', 'Mwisho wa Lami', 'Likia', 'Mauche', 'Kapyemit', 'Gatimu & adjacent customers.']",01JVY1ETS6ASGH434Y6NRZREKP.pdf
,TRANS NZOIA,"BWAI, BANULI FARM, MAILI 11",Saturday  24.05.2025,9.00 A.M. – 5.00 P.M.,"['Bwayi', 'Jirongo', 'Banuli Farm', 'Kerenget  Mirembe', 'Maili 11', 'Mutua & adjacent', 'customers.']",01JVY1ETS6ASGH434Y6NRZREKP.pdf
,TRANS NZOIA,"BIKEKE, ALAKARA",Tuesday  27.05.2025,9.00 A.M. – 5.00 P.M.,"['Bikeke Boys', 'Bikeke Girls', 'Area 51', 'Maili', 'Machungwa', 'Wehoya', 'Musemwa', 'Alakara', 'Meru Farm 7', 'Misemwa', 'Nyakinywa & adjacent customers.']",01JVY1ETS6ASGH434Y6NRZREKP.pdf
,TRANS NZOIA,"NOREK, MERU FARM, WELCOME",Tuesday  27.05.2025,9.00 A.M. – 5.00 P.M.,"['Norek', 'Meru farm', 'Welcome', 'Mogoywet at Wamuini A & adjacent customers.']",01JVY1ETS6ASGH434Y6NRZREKP.pdf
